Front,Back,POS,Tags
comme,として,,vocab3kyu
je,私,,vocab3kyu
son,彼の,,vocab3kyu
que,それ,,vocab3kyu
il,彼,,vocab3kyu
était,だった,,vocab3kyu
pour,のために,,vocab3kyu
sur,の上,,vocab3kyu
sont,は,,vocab3kyu
avec,と,,vocab3kyu
ils,彼らは,,vocab3kyu
être,なれ,,vocab3kyu
à,で,,vocab3kyu
un,1つ,,vocab3kyu
avoir,持っている,,vocab3kyu
ce,これ,,vocab3kyu
à partir de,から,,vocab3kyu
par,による,,vocab3kyu
chaud,熱い,,vocab3kyu
mot,言葉,,vocab3kyu
mais,しかし,,vocab3kyu
que,何,,vocab3kyu
certains,いくつかの,,vocab3kyu
est,は,,vocab3kyu
il,それ,,vocab3kyu
vous,あなた,,vocab3kyu
ou,または,,vocab3kyu
eu,持っていた,,vocab3kyu
la,the,,vocab3kyu
de,の,,vocab3kyu
à,に,,vocab3kyu
et,そして,,vocab3kyu
un,a,,vocab3kyu
dans,で,,vocab3kyu
nous,私たちは,,vocab3kyu
boîte,できる,,vocab3kyu
dehors,外,,vocab3kyu
autre,他の,,vocab3kyu
étaient,だった,,vocab3kyu
qui,どれの,,vocab3kyu
faire,する,,vocab3kyu
leur,彼らの,,vocab3kyu
temps,時間,,vocab3kyu
si,もし,,vocab3kyu
volonté,意思,,vocab3kyu
comment,どうやって,,vocab3kyu
dit,言った,,vocab3kyu
un,an,,vocab3kyu
chaque,それぞれ,,vocab3kyu
dire,教えて,,vocab3kyu
ne,します,,vocab3kyu
ensemble,セット,,vocab3kyu
trois,三つ,,vocab3kyu
vouloir,欲しい,,vocab3kyu
air,空気,,vocab3kyu
bien,良い,,vocab3kyu
aussi,また,,vocab3kyu
jouer,遊ぶ,,vocab3kyu
petit,小さい,,vocab3kyu
fin,終わり,,vocab3kyu
mettre,置く,,vocab3kyu
maison,家,,vocab3kyu
lire,読む,,vocab3kyu
main,手,,vocab3kyu
port,ポート,,vocab3kyu
grand,大きい,,vocab3kyu
épeler,スペル,,vocab3kyu
ajouter,追加,,vocab3kyu
même,平,,vocab3kyu
terre,土地,,vocab3kyu
ici,ここ,,vocab3kyu
il faut,しなければならない,,vocab3kyu
grand,大きい,,vocab3kyu
haut,高い,,vocab3kyu
tel,そのような,,vocab3kyu
suivre,フォローする,,vocab3kyu
acte,活動,,vocab3kyu
pourquoi,なぜ,,vocab3kyu
interroger,聞く,,vocab3kyu
hommes,男性,,vocab3kyu
changement,変化,,vocab3kyu
est allé,行った,,vocab3kyu
lumière,ライト,,vocab3kyu
genre,親切,,vocab3kyu
de,オフ,,vocab3kyu
besoin,必要,,vocab3kyu
maison,家,,vocab3kyu
image,写真,,vocab3kyu
essayer,試す,,vocab3kyu
nous,私たち,,vocab3kyu
encore,また,,vocab3kyu
animal,動物,,vocab3kyu
point,ポイント,,vocab3kyu
mère,母親,,vocab3kyu
monde,世界,,vocab3kyu
près de,近く,,vocab3kyu
construire,建てる,,vocab3kyu
soi,自己,,vocab3kyu
terre,地球,,vocab3kyu
père,父親,,vocab3kyu
tout,どれでも,,vocab3kyu
nouveau,新しい,,vocab3kyu
travail,仕事,,vocab3kyu
partie,一部,,vocab3kyu
prendre,取る,,vocab3kyu
obtenir,得る,,vocab3kyu
lieu,場所,,vocab3kyu
fabriqué,作った,,vocab3kyu
vivre,ライブ,,vocab3kyu
où,どこ,,vocab3kyu
après,後,,vocab3kyu
arrière,戻る,,vocab3kyu
peu,少し,,vocab3kyu
seulement,のみ,,vocab3kyu
tour,ラウンド,,vocab3kyu
homme,男,,vocab3kyu
année,年,,vocab3kyu
est venu,来た,,vocab3kyu
montrer,見せる,,vocab3kyu
tous,毎,,vocab3kyu
bon,良い,,vocab3kyu
moi,自分,,vocab3kyu
donner,与える,,vocab3kyu
notre,私たちの,,vocab3kyu
sous,下,,vocab3kyu
nom,名前,,vocab3kyu
très,とても,,vocab3kyu
par,を通して,,vocab3kyu
juste,ただ,,vocab3kyu
forme,形状,,vocab3kyu
phrase,文,,vocab3kyu
grand,素晴らしい,,vocab3kyu
penser,考える,,vocab3kyu
dire,言う,,vocab3kyu
aider,ヘルプ,,vocab3kyu
faible,低い,,vocab3kyu
ligne,ライン,,vocab3kyu
différer,異なる,,vocab3kyu
tour,振り向く,,vocab3kyu
