Front,Back,POS,Tags
comme,as,,vocab3kyu
je,I,,vocab3kyu
son,his,,vocab3kyu
que,that,,vocab3kyu
il,he,,vocab3kyu
était,was,,vocab3kyu
pour,for,,vocab3kyu
sur,on,,vocab3kyu
sont,are,,vocab3kyu
avec,with,,vocab3kyu
ils,they,,vocab3kyu
être,be,,vocab3kyu
à,at,,vocab3kyu
un,one,,vocab3kyu
avoir,have,,vocab3kyu
ce,this,,vocab3kyu
à partir de,from,,vocab3kyu
par,by,,vocab3kyu
chaud,hot,,vocab3kyu
mot,word,,vocab3kyu
mais,but,,vocab3kyu
que,what,,vocab3kyu
certains,some,,vocab3kyu
est,is,,vocab3kyu
il,it,,vocab3kyu
vous,you,,vocab3kyu
ou,or,,vocab3kyu
eu,had,,vocab3kyu
la,the,,vocab3kyu
de,of,,vocab3kyu
à,to,,vocab3kyu
et,and,,vocab3kyu
un,a,,vocab3kyu
dans,in,,vocab3kyu
nous,we,,vocab3kyu
boîte,can,,vocab3kyu
dehors,out,,vocab3kyu
autre,other,,vocab3kyu
étaient,were,,vocab3kyu
qui,which,,vocab3kyu
faire,do,,vocab3kyu
leur,their,,vocab3kyu
temps,time,,vocab3kyu
si,if,,vocab3kyu
volonté,will,,vocab3kyu
comment,how,,vocab3kyu
dit,said,,vocab3kyu
un,an,,vocab3kyu
chaque,each,,vocab3kyu
dire,tell,,vocab3kyu
ne,does,,vocab3kyu
ensemble,set,,vocab3kyu
trois,three,,vocab3kyu
vouloir,want,,vocab3kyu
air,air,,vocab3kyu
bien,well,,vocab3kyu
aussi,also,,vocab3kyu
jouer,play,,vocab3kyu
petit,small,,vocab3kyu
fin,end,,vocab3kyu
mettre,put,,vocab3kyu
maison,home,,vocab3kyu
lire,read,,vocab3kyu
main,hand,,vocab3kyu
port,port,,vocab3kyu
grand,large,,vocab3kyu
épeler,spell,,vocab3kyu
ajouter,add,,vocab3kyu
même,even,,vocab3kyu
terre,land,,vocab3kyu
ici,here,,vocab3kyu
il faut,must,,vocab3kyu
grand,big,,vocab3kyu
haut,high,,vocab3kyu
tel,such,,vocab3kyu
suivre,follow,,vocab3kyu
acte,act,,vocab3kyu
pourquoi,why,,vocab3kyu
interroger,ask,,vocab3kyu
hommes,men,,vocab3kyu
changement,change,,vocab3kyu
est allé,went,,vocab3kyu
lumière,light,,vocab3kyu
genre,kind,,vocab3kyu
de,off,,vocab3kyu
besoin,need,,vocab3kyu
maison,house,,vocab3kyu
image,picture,,vocab3kyu
essayer,try,,vocab3kyu
nous,us,,vocab3kyu
encore,again,,vocab3kyu
animal,animal,,vocab3kyu
point,point,,vocab3kyu
mère,mother,,vocab3kyu
monde,world,,vocab3kyu
près de,near,,vocab3kyu
construire,build,,vocab3kyu
soi,self,,vocab3kyu
terre,earth,,vocab3kyu
père,father,,vocab3kyu
tout,any,,vocab3kyu
nouveau,new,,vocab3kyu
travail,work,,vocab3kyu
partie,part,,vocab3kyu
prendre,take,,vocab3kyu
obtenir,get,,vocab3kyu
lieu,place,,vocab3kyu
fabriqué,made,,vocab3kyu
vivre,live,,vocab3kyu
où,where,,vocab3kyu
après,after,,vocab3kyu
